Fiber  Good B  B Offset     B Offset   Good R   R Offset     R Offset
       Fiber?  from fib     from fib   Fiber?   from fib     from fib
               1 bin=1      2 bin=2             1 bin=1      1 bin=2
                                                
136     1       1915.60      957.80      1       1917.80      958.90
137     1       1929.60      964.80      1       1931.80      965.90
138     1       1943.60      971.80      1       1946.00      973.00
139     1       1978.80      989.40      1       1980.00      990.00
140     1       1993.00      996.50      1       1994.00      997.00
141     1       2007.20      1003.60     1       2008.00      1004.00
142     1       2021.40      1010.70     1       2022.00      1011.00
143     1       2035.40      1017.70     1       2036.00      1018.00
144     1       2049.40      1024.70     1       2050.00      1025.00
145     1       2063.40      1031.70     1       2064.00      1032.00
146     1       2077.20      1038.60     1       2078.00      1039.00
147     1       2091.00      1045.50     1       2092.00      1046.00
148     1       2104.80      1052.40     1       2106.00      1053.00
149     1       2118.60      1059.30     1       2120.00      1060.00
150     1       2132.60      1066.30     1       2134.00      1067.00
151     1       2146.60      1073.30     1       2148.00      1074.00
152     1       2160.60      1080.30     1       2162.00      1081.00
153     1       2174.60      1087.30     1       2176.20      1088.10
154     1       2188.60      1094.30     1       2190.20      1095.10
155     1       2202.40      1101.20     1       2204.00      1102.00
156     1       2216.20      1108.10     1       2217.80      1108.90
157     1       2230.00      1115.00     1       2231.60      1115.80
158     1       2243.80      1121.90     1       2245.40      1122.70
159     1       2257.80      1128.90     1       2259.40      1129.70
160     1       2271.80      1135.90     1       2273.40      1136.70
161     1       2285.80      1142.90     1       2287.40      1143.70
162     1       2302.80      1151.40     1       2304.00      1152.00
163     1       2316.80      1158.40     1       2318.00      1159.00
164     1       2330.80      1165.40     1       2332.00      1166.00
165     1       2344.80      1172.40     1       2346.00      1173.00
166     1       2358.80      1179.40     1       2360.00      1180.00
167     1       2372.60      1186.30     1       2373.80      1186.90
168     1       2386.40      1193.20     1       2387.60      1193.80
169     1       2400.20      1200.10     1       2401.40      1200.70
170     1       2414.00      1207.00     1       2415.20      1207.60
171     1       2427.80      1213.90     1       2429.40      1214.70
172     1       2441.60      1220.80     1       2443.40      1221.70
173     1       2455.40      1227.70     1       2457.40      1228.70
174     1       2469.40      1234.70     1       2471.40      1235.70
175     1       2483.60      1241.80     1       2485.40      1242.70
176     1       2497.80      1248.90     1       2499.20      1249.60
177     1       2512.00      1256.00     1       2513.00      1256.50
178     1       2525.80      1262.90     1       2527.20      1263.60
179     1       2539.60      1269.80     1       2540.80      1270.40
180     1       2553.40      1276.70     1       2554.80      1277.40
181     1       2567.20      1283.60     1       2568.60      1284.30
182     1       2581.00      1290.50     1       2582.40      1291.20
183     1       2594.80      1297.40     1       2596.40      1298.20
184     1       2608.60      1304.30     1       2611.00      1305.50
185     1       2641.60      1320.80     1       2645.60      1322.80
186     1       2655.80      1327.90     1       2659.80      1329.90
187     1       2670.00      1335.00     1       2674.00      1337.00
188     1       2684.20      1342.10     1       2688.20      1344.10
189     1       2698.00      1349.00     1       2702.00      1351.00
190     1       2711.80      1355.90     1       2715.80      1357.90
191     1       2725.60      1362.80     1       2729.60      1364.80
192     1       2739.40      1369.70     1       2743.40      1371.70
193     1       2753.20      1376.60     1       2757.20      1378.60
194     1       2767.20      1383.60     1       2771.20      1385.60
195     1       2781.20      1390.60     1       2785.20      1392.60
196     1       2795.20      1397.60     1       2799.20      1399.60
197     1       2809.20      1404.60     1       2813.20      1406.60
198     1       2823.20      1411.60     1       2827.20      1413.60
199     1       2837.20      1418.60     1       2841.20      1420.60
200     1       2851.20      1425.60     1       2855.20      1427.60
201     1       2865.00      1432.50     1       2869.00      1434.50
202     1       2878.80      1439.40     1       2882.80      1441.40
203     1       2892.60      1446.30     1       2896.60      1448.30
204     1       2906.40      1453.20     1       2910.40      1455.20
205     1       2920.20      1460.10     1       2924.20      1462.10
206     1       2934.20      1467.10     1       2938.20      1469.10
207     1       2948.20      1474.10     1       2952.20      1476.10
208     1       2964.80      1482.40     1       2968.80      1484.40
209     1       2978.60      1489.30     1       2982.60      1491.30
210     1       2992.40      1496.20     1       2996.40      1498.20
211     1       3006.40      1503.20     1       3010.40      1505.20
212     1       3020.20      1510.10     1       3024.20      1512.10
213     1       3034.00      1517.00     1       3038.00      1519.00
214     1       3047.80      1523.90     1       3051.80      1525.90
215     1       3061.60      1530.80     1       3065.60      1532.80
216     1       3075.40      1537.70     1       3079.40      1539.70
217     1       3089.20      1544.60     1       3093.20      1546.60
218     1       3103.00      1551.50     1       3107.00      1553.50
219     1       3116.80      1558.40     1       3120.80      1560.40
220     1       3130.60      1565.30     1       3134.80      1567.40
221     1       3144.40      1572.20     1       3148.80      1574.40
222     1       3158.20      1579.10     1       3162.80      1581.40
223     1       3172.00      1586.00     1       3176.80      1588.40
224     1       3185.80      1592.90     1       3190.80      1595.40
225     1       3199.60      1599.80     1       3204.60      1602.30
226     1       3213.40      1606.70     1       3218.40      1609.20
227     1       3227.40      1613.70     1       3232.20      1616.10
228     1       3241.40      1620.70     1       3246.00      1623.00
229     1       3255.40      1627.70     1       3259.80      1629.90
230     1       3269.40      1634.70     1       3273.60      1636.80
231     1       3304.00      1652.00     1       3306.00      1653.00
232     1       3318.00      1659.00     1       3319.80      1659.90
233     1       3331.60      1665.80     1       3333.80      1666.90
234     1       3345.20      1672.60     1       3347.60      1673.80
235     1       3358.80      1679.40     1       3361.40      1680.70
236     1       3372.60      1686.30     1       3375.20      1687.60
237     1       3386.40      1693.20     1       3389.00      1694.50
238     1       3400.40      1700.20     1       3402.80      1701.40
239     1       3414.40      1707.20     1       3416.80      1708.40
240     1       3428.00      1714.00     1       3430.60      1715.30
241     1       3441.60      1720.80     1       3444.20      1722.10
242     1       3455.20      1727.60     1       3458.00      1729.00
243     1       3468.80      1734.40     1       3471.80      1735.90
244     1       3482.80      1741.40     1       3485.80      1742.90
245     1       3496.60      1748.30     1       3499.60      1749.80
246     1       3510.40      1755.20     1       3513.40      1756.70
247     1       3524.00      1762.00     1       3527.00      1763.50
248     1       3538.00      1769.00     1       3541.00      1770.50
249     1       3551.80      1775.90     1       3554.80      1777.40
250     1       3565.60      1782.80     1       3568.60      1784.30
251     1       3579.40      1789.70     1       3582.40      1791.20
252     1       3593.20      1796.60     1       3596.20      1798.10
253     1       3607.00      1803.50     1       3610.00      1805.00
254     1       3623.60      1811.80     1       3626.60      1813.30
255     1       3637.20      1818.60     1       3640.20      1820.10
256     1       3650.80      1825.40     1       3653.80      1826.90
257     1       3664.20      1832.10     1       3667.20      1833.60
258     1       3678.00      1839.00     1       3681.00      1840.50
259     1       3691.60      1845.80     1       3694.60      1847.30
260     1       3705.20      1852.60     1       3708.40      1854.20
261     1       3718.80      1859.40     1       3722.20      1861.10
262     1       3732.40      1866.20     1       3736.00      1868.00
263     1       3746.00      1873.00     1       3749.80      1874.90
264     1       3759.60      1879.80     1       3763.60      1881.80
265     1       3773.20      1886.60     1       3777.40      1888.70
266     1       3786.80      1893.40     1       3791.20      1895.60
267     1       3800.40      1900.20     1       3804.80      1902.40
268     1       3814.00      1907.00     1       3818.40      1909.20
269     1       3827.60      1913.80     1       3832.00      1916.00
270     1       3841.40      1920.70     1       3845.60      1922.80
271     1       3855.20      1927.60     1       3859.20      1929.60
272     1       3869.00      1934.50     1       3872.80      1936.40
273     1       3882.80      1941.40     1       3886.40      1943.20
274     1       3896.60      1948.30     1       3900.00      1950.00
275     1       3910.40      1955.20     1       3913.80      1956.90
276     1       3924.20      1962.10     1       3928.00      1964.00
