Fiber  Good B  B Offset     B Offset   Good R   R Offset     R Offset
       Fiber?  from fib     from fib   Fiber?   from fib     from fib
               1 bin=1      2 bin=2             1 bin=1      1 bin=2
                                                
130     1       2841.96      1420.98    1        2842.60      1421.30
131     1       2863.76      1431.88    1        2864.60      1432.30
132     1       2885.56      1442.78    1        2886.60      1443.30
133     1       2907.36      1453.68    1        2908.20      1454.10
134     1       2929.16      1464.58    1        2929.80      1464.90
135     1       2950.96      1475.48    1        2951.40      1475.70
136     1       2972.36      1486.18    1        2973.00      1486.50
137     1       2993.76      1496.88    1        2994.60      1497.30
138     1       3014.96      1507.48    1        3016.00      1508.00
139     1       3036.16      1518.08    1        3037.20      1518.60
140     1       3057.56      1528.78    1        3058.40      1529.20
141     1       3079.36      1539.68    1        3080.00      1540.00
142     1       3101.16      1550.58    1        3101.60      1550.80
143     1       3122.96      1561.48    1        3123.20      1561.60
144     1       3144.76      1572.38    1        3144.80      1572.40
145     1       3170.96      1585.48    1        3171.40      1585.70
146     1       3192.96      1596.48    1        3193.20      1596.60
147     1       3214.76      1607.38    1        3215.00      1607.50
148     1       3236.56      1618.28    1        3236.80      1618.40
149     1       3258.76      1629.38    1        3258.60      1629.30
150     1       3280.16      1640.08    1        3280.40      1640.20
151     1       3301.96      1650.98    1        3302.20      1651.10
152     1       3322.96      1661.48    1        3324.00      1662.00
153     1       3344.76      1672.38    1        3345.80      1672.90
154     1       3366.16      1683.08    1        3367.60      1683.80
155     1       3387.56      1693.78    1        3389.00      1694.50
156     1       3409.36      1704.68    1        3410.20      1705.10
157     1       3430.56      1715.28    1        3431.40      1715.70
158     1       3451.96      1725.98    1        3452.60      1726.30
159     1       3473.36      1736.68    1        3473.80      1736.90
160     1       3494.76      1747.38    1        3495.00      1747.50
161     1       3516.36      1758.18    1        3516.80      1758.40
162     1       3538.16      1769.08    1        3539.00      1769.50
163     1       3565.56      1782.78    1        3566.00      1783.00
164     1       3587.36      1793.68    1        3588.20      1794.10
165     1       3609.76      1804.88    1        3610.40      1805.20
166     1       3631.56      1815.78    1        3632.60      1816.30
167     1       3652.76      1826.38    1        3654.80      1827.40
168     1       3674.16      1837.08    1        3676.20      1838.10
169     1       3695.56      1847.78    1        3697.60      1848.80
170     1       3716.76      1858.38    1        3719.00      1859.50
171     1       3737.96      1868.98    1        3740.40      1870.20
172     1       3758.36      1879.18    1        3761.80      1880.90
173     1       3779.76      1889.88    1        3783.20      1891.60
174     1       3801.16      1900.58    1        3804.60      1902.30
175     1       3822.56      1911.28    1        3826.00      1913.00
176     1       3844.16      1922.08    1        3847.40      1923.70
177     1       3865.36      1932.68    1        3868.80      1934.40
178     1       3886.76      1943.38    1        3890.20      1945.10
179     1       3908.36      1954.18    1        3912.20      1956.10
180     1       3929.96      1964.98    1        3934.60      1967.30
