Fiber  Good B  B Offset     B Offset   Good R   R Offset     R Offset
       Fiber?  from fib     from fib   Fiber?   from fib     from fib
               1 bin=1      2 bin=2             1 bin=1      1 bin=2
                                                
139     1       1252.10      626.05     1        1251.40      625.70
140     1       1261.00      630.50     1        1260.30      630.15
141     1       1269.90      634.95     1        1269.20      634.60
142     1       1279.00      639.50     1        1278.30      639.15
143     1       1287.90      643.95     1        1287.20      643.60
144     1       1296.90      648.45     1        1296.20      648.10
145     1       1305.90      652.95     1        1305.20      652.60
146     1       1314.90      657.45     1        1314.20      657.10
147     1       1323.90      661.95     1        1323.20      661.60
148     1       1332.90      666.45     1        1332.20      666.10
149     1       1341.80      670.90     1        1341.10      670.55
150     1       1350.70      675.35     1        1350.00      675.00
151     1       1359.60      679.80     1        1358.90      679.45
152     1       1368.50      684.25     1        1367.80      683.90
153     1       1377.40      688.70     1        1376.70      688.35
154     1       1386.30      693.15     1        1385.60      692.80
155     1       1395.30      697.65     1        1394.60      697.30
156     1       1404.10      702.05     1        1403.40      701.70
157     1       1413.10      706.55     1        1412.40      706.20
158     1       1422.10      711.05     1        1421.40      710.70
159     1       1431.10      715.55     1        1430.40      715.20
160     1       1440.10      720.05     1        1439.40      719.70
161     1       1449.10      724.55     1        1448.40      724.20
162     1       1458.10      729.05     1        1457.20      728.60
163     1       1481.40      740.70     1        1478.50      739.25
164     1       1490.40      745.20     1        1487.70      743.85
165     1       1499.40      749.70     1        1496.50      748.25
166     1       1508.40      754.20     1        1505.50      752.75
167     1       1517.40      758.70     1        1514.50      757.25
168     1       1526.40      763.20     1        1523.50      761.75
169     1       1535.30      767.65     1        1532.40      766.20
170     1       1544.20      772.10     1        1541.30      770.65
171     1       1553.10      776.55     1        1550.20      775.10
172     1       1562.00      781.00     1        1559.10      779.55
173     1       1570.90      785.45     1        1568.00      784.00
174     1       1579.80      789.90     1        1577.10      788.55
175     1       1588.70      794.35     1        1586.00      793.00
176     1       1597.60      798.80     1        1595.10      797.55
177     1       1606.70      803.35     1        1604.00      802.00
178     1       1615.70      807.85     1        1613.00      806.50
179     1       1624.60      812.30     1        1621.90      810.95
180     1       1633.60      816.80     1        1630.90      815.45
181     1       1642.60      821.30     1        1639.90      819.95
182     1       1651.60      825.80     1        1648.90      824.45
183     1       1660.60      830.30     1        1657.90      828.95
184     1       1669.30      834.65     1        1666.60      833.30
185     1       1678.30      839.15     1        1675.60      837.80
186     1       1687.20      843.60     1        1684.50      842.25
187     1       1696.10      848.05     1        1693.40      846.70
188     1       1705.10      852.55     1        1702.40      851.20
189     1       1714.20      857.10     0        1711.40      855.70
190     1       1725.00      862.50     1        1722.30      861.15
191     1       1733.90      866.95     1        1731.20      865.60
192     1       1743.00      871.50     1        1740.30      870.15
193     1       1751.90      875.95     1        1749.20      874.60
194     1       1760.90      880.45     1        1758.20      879.10
195     1       1769.90      884.95     1        1767.20      883.60
196     1       1778.90      889.45     1        1776.20      888.10
197     1       1787.90      893.95     1        1785.20      892.60
198     1       1796.85      898.43     1        1794.15      897.08
199     1       1805.80      902.90     1        1803.10      901.55
200     1       1814.75      907.38     1        1812.05      906.03
201     1       1823.70      911.85     1        1821.00      910.50
202     1       1832.65      916.33     1        1829.95      914.98
203     1       1841.60      920.80     1        1838.90      919.45
204     1       1850.55      925.28     1        1847.85      923.93
